"Epic","Story ID","Summary","Description","Priority","Sprint","Story Points","Dependencies","Acceptance Criteria","Labels"
"Identity and KYC","BLP-101","Master registration with OTP","As a master user, I can register with phone and verify OTP before account creation.","P0","Sprint 1","5","None","OTP verified users can create accounts; invalid OTP attempts are rate-limited; audit log is written.","phase1,auth,kyc"
"Identity and KYC","BLP-102","KYC workflow by residency","As compliance, I can trigger KYC checklist based on user country of residence.","P0","Sprint 1","8","BLP-101","Country profile drives required fields; submission status is stored; pending users cannot transact.","phase1,kyc,compliance"
"Identity and KYC","BLP-103","PEP and sanctions screening","As compliance, I can screen onboarding profiles against watchlists.","P0","Sprint 1","5","BLP-102","Screening runs on onboarding and updates; flagged accounts move to manual review queue.","phase1,aml,compliance"
"Identity and KYC","BLP-104","KYC operations queue","As ops, I can review, approve, reject, and comment on KYC cases.","P1","Sprint 2","5","BLP-102","Queue supports filters; decisions are timestamped; reviewer identity is stored.","phase1,ops,kyc"
"Account Hierarchy","BLP-111","Create attached account","As a master user, I can link an attached family account.","P0","Sprint 1","5","BLP-101","Master can create attached users; relationship appears in both account views.","phase1,family,accounts"
"Account Hierarchy","BLP-112","Permission profiles for attached users","As a master user, I can assign permissions to an attached user.","P0","Sprint 2","3","BLP-111","Permissions enforced at transaction time; unauthorized actions are blocked.","phase1,family,permissions"
"Account Hierarchy","BLP-113","Spending limits for attached users","As a master user, I can set daily and per-transaction limits.","P0","Sprint 2","5","BLP-112","Limit checks happen before authorization; limit updates are audited.","phase1,family,limits"
"Wallet and Ledger","BLP-121","Create wallet and balance model","As system, I can create wallets with currency sub-accounts.","P0","Sprint 1","8","BLP-101","Wallet creation is idempotent; balances start at zero; wallet state is queryable.","phase1,wallet,ledger"
"Wallet and Ledger","BLP-122","Double-entry ledger posting engine","As system, every monetary event posts balanced debit and credit entries.","P0","Sprint 1","13","BLP-121","Entries are balanced; posting is atomic; each entry has channel and reference IDs.","phase1,ledger,core"
"Wallet and Ledger","BLP-123","Ledger holds and release","As system, I can place and release holds for pending operations.","P1","Sprint 2","5","BLP-122","Holds reduce available balance; release/consume updates are auditable.","phase1,ledger,risk"
"Wallet and Ledger","BLP-124","Reversal and correction workflow","As ops, I can reverse failed or duplicate transactions safely.","P1","Sprint 3","8","BLP-122","Reversal keeps ledger balanced; original reference is linked; approval is logged.","phase1,ledger,ops"
